Unnamed: 0,year,month,passengers,datac
0,1949,jan,112,1949-Jan-01
1,1949,feb,118,1949-Feb-01
2,1949,mar,132,1949-Mar-01
3,1949,apr,129,1949-Apr-01
4,1949,may,121,1949-May-01
5,1949,jun,135,1949-Jun-01
6,1949,jul,148,1949-Jul-01
7,1949,aug,148,1949-Aug-01
8,1949,sep,136,1949-Sep-01
9,1949,oct,119,1949-Oct-01
10,1949,nov,104,1949-Nov-01
11,1949,dec,118,1949-Dec-01
12,1950,jan,115,1950-Jan-01
13,1950,feb,126,1950-Feb-01
14,1950,mar,141,1950-Mar-01
15,1950,apr,135,1950-Apr-01
16,1950,may,125,1950-May-01
17,1950,jun,149,1950-Jun-01
18,1950,jul,170,1950-Jul-01
19,1950,aug,170,1950-Aug-01
20,1950,sep,158,1950-Sep-01
21,1950,oct,133,1950-Oct-01
22,1950,nov,114,1950-Nov-01
23,1950,dec,140,1950-Dec-01
24,1951,jan,145,1951-Jan-01
25,1951,feb,150,1951-Feb-01
26,1951,mar,178,1951-Mar-01
27,1951,apr,163,1951-Apr-01
28,1951,may,172,1951-May-01
29,1951,jun,178,1951-Jun-01
30,1951,jul,199,1951-Jul-01
31,1951,aug,199,1951-Aug-01
32,1951,sep,184,1951-Sep-01
33,1951,oct,162,1951-Oct-01
34,1951,nov,146,1951-Nov-01
35,1951,dec,166,1951-Dec-01
36,1952,jan,171,1952-Jan-01
37,1952,feb,180,1952-Feb-01
38,1952,mar,193,1952-Mar-01
39,1952,apr,181,1952-Apr-01
40,1952,may,183,1952-May-01
41,1952,jun,218,1952-Jun-01
42,1952,jul,230,1952-Jul-01
43,1952,aug,242,1952-Aug-01
44,1952,sep,209,1952-Sep-01
45,1952,oct,191,1952-Oct-01
46,1952,nov,172,1952-Nov-01
47,1952,dec,194,1952-Dec-01
48,1953,jan,196,1953-Jan-01
49,1953,feb,196,1953-Feb-01
50,1953,mar,236,1953-Mar-01
51,1953,apr,235,1953-Apr-01
52,1953,may,229,1953-May-01
53,1953,jun,243,1953-Jun-01
54,1953,jul,264,1953-Jul-01
55,1953,aug,272,1953-Aug-01
56,1953,sep,237,1953-Sep-01
57,1953,oct,211,1953-Oct-01
58,1953,nov,180,1953-Nov-01
59,1953,dec,201,1953-Dec-01
60,1954,jan,204,1954-Jan-01
61,1954,feb,188,1954-Feb-01
62,1954,mar,235,1954-Mar-01
63,1954,apr,227,1954-Apr-01
64,1954,may,234,1954-May-01
65,1954,jun,264,1954-Jun-01
66,1954,jul,302,1954-Jul-01
67,1954,aug,293,1954-Aug-01
68,1954,sep,259,1954-Sep-01
69,1954,oct,229,1954-Oct-01
70,1954,nov,203,1954-Nov-01
71,1954,dec,229,1954-Dec-01
72,1955,jan,242,1955-Jan-01
73,1955,feb,233,1955-Feb-01
74,1955,mar,267,1955-Mar-01
75,1955,apr,269,1955-Apr-01
76,1955,may,270,1955-May-01
77,1955,jun,315,1955-Jun-01
78,1955,jul,364,1955-Jul-01
79,1955,aug,347,1955-Aug-01
80,1955,sep,312,1955-Sep-01
81,1955,oct,274,1955-Oct-01
82,1955,nov,237,1955-Nov-01
83,1955,dec,278,1955-Dec-01
84,1956,jan,284,1956-Jan-01
85,1956,feb,277,1956-Feb-01
86,1956,mar,317,1956-Mar-01
87,1956,apr,313,1956-Apr-01
88,1956,may,318,1956-May-01
89,1956,jun,374,1956-Jun-01
90,1956,jul,413,1956-Jul-01
91,1956,aug,405,1956-Aug-01
92,1956,sep,355,1956-Sep-01
93,1956,oct,306,1956-Oct-01
94,1956,nov,271,1956-Nov-01
95,1956,dec,306,1956-Dec-01
96,1957,jan,315,1957-Jan-01
97,1957,feb,301,1957-Feb-01
98,1957,mar,356,1957-Mar-01
99,1957,apr,348,1957-Apr-01
100,1957,may,355,1957-May-01
101,1957,jun,422,1957-Jun-01
102,1957,jul,465,1957-Jul-01
103,1957,aug,467,1957-Aug-01
104,1957,sep,404,1957-Sep-01
105,1957,oct,347,1957-Oct-01
106,1957,nov,305,1957-Nov-01
107,1957,dec,336,1957-Dec-01
108,1958,jan,340,1958-Jan-01
109,1958,feb,318,1958-Feb-01
110,1958,mar,362,1958-Mar-01
111,1958,apr,348,1958-Apr-01
112,1958,may,363,1958-May-01
113,1958,jun,435,1958-Jun-01
114,1958,jul,491,1958-Jul-01
115,1958,aug,505,1958-Aug-01
116,1958,sep,404,1958-Sep-01
117,1958,oct,359,1958-Oct-01
118,1958,nov,310,1958-Nov-01
119,1958,dec,337,1958-Dec-01
120,1959,jan,360,1959-Jan-01
121,1959,feb,342,1959-Feb-01
122,1959,mar,406,1959-Mar-01
123,1959,apr,396,1959-Apr-01
124,1959,may,420,1959-May-01
125,1959,jun,472,1959-Jun-01
126,1959,jul,548,1959-Jul-01
127,1959,aug,559,1959-Aug-01
128,1959,sep,463,1959-Sep-01
129,1959,oct,407,1959-Oct-01
130,1959,nov,362,1959-Nov-01
131,1959,dec,405,1959-Dec-01
132,1960,jan,417,1960-Jan-01
133,1960,feb,391,1960-Feb-01
134,1960,mar,419,1960-Mar-01
135,1960,apr,461,1960-Apr-01
136,1960,may,472,1960-May-01
137,1960,jun,535,1960-Jun-01
138,1960,jul,622,1960-Jul-01
139,1960,aug,606,1960-Aug-01
140,1960,sep,508,1960-Sep-01
141,1960,oct,461,1960-Oct-01
142,1960,nov,390,1960-Nov-01
143,1960,dec,432,1960-Dec-01
